city	gdp	unem_rate	n_hig_edu_insts	inf_mort	lif_exp_male	lif_exp_fem	n_hosp	pm10
Amsterdam	46	0.054	23	4.12	76.3	80.8	7	24
Bangkok	23.4	0.022	37	5.7	69	74	173	54
Barcelona	36.3	0.154	8	9.4	79	85.2	45	35
Beijing	20.3	0.0137	89	3.29	79	83	551	121
Berlin	33.3	0.155	30	3.9	82	88	79	26
Bogota	15.9	0.096	19	16.89	74.6	79.7	22	77
Boston	69.3	0.066	35	5.8	74.8	81.1	12	17
Brussels	45.6	0.16	25	4.63	77	82.6	43	28
Buenos Aires	26.1	0.056	36	7.6	73	80	33	38
Cairo	10.1	0.119	13	16.3	71.7	75.2	18	138
Chicago	55	0.095	60	7.9	70.55	77.6	50	22
Cologne	40.3	0.103	8	4.28	72.6	79.6	23	23
Copenhagen	39.3	0.079	41	4.31	74.1	79.6	6	26
Delhi	9.5	0.0314	186	18.96	63	65	24	198
Dhaka	0.5	0.23	43	69	62.8	62.8	2	134
Dubai	22.8	0.008	52	6.1	75.8	75.7	25	87
Dublin	52.1	0.108	22	3.6	76.7	81.5	44	15
Frankfurt	51.6	0.061	10	3.9	79.4	79.4	19	22
Guangzhou	38.2	0.022	77	4.04	75.25	80.94	216	70
Helsinki	47.7	0.062	9	3	74.8	82	8	20
Hong Kong	48.7	0.034	17	1.5	80.6	86.3	51	50
Houston	64.2	0.083	58	6.2	74	79	126	21
Istanbul	22.8	0.112	29	16.1	69.9	73.6	200	59
Jakarta	7.2	0.1105	9	24	66	71	137	43
Jerusalem	42.12	0.086	15	4.5	78	82	16	60
Johannesburg	17.4	0.37	2	48	54	57	30	66
Lima	17.3	0.074	27	10.9	74	79	42	78
Lisbon	31.5	0.07	98	4.4	79	79	33	30
London	52	0.083	40	4.6	79	83.3	255	29
Los Angeles	66.223	0.078	40	4.6	79	83.3	255	23
Madrid	40	0.16	16	0.45	79	85	52	26
Melbourne	41.4	0.055	9	3.8	80	84	17	14
Moscow	44.8	0.0098	264	6.5	61	76	252	33
Mumbai	5.9	0.117	12	34.57	53	58	32	132
New York City	67.762	0.077	110	4.7	78.1	83.3	59	21
Oslo	55.5	0.036	14	2.7	78.7	82.5	8	22
Paris	53.9	0.089	17	4	80	86	37	38
Prague	48.1	0.0407	38	2	76	81	28	27
Rome	38.8	0.11	15	3.5	79	84	31	35
San Francisco	69	0.0004	25	30	78	83.6	304	15
Sao Paulo	23.7	0.161	26	11.95	69.1	77.2	101	38
Seoul	32.2	0.047	37	0.035	76.1	82.7	223	64
Shenzhen	28	0.026	8	1.9	75.44	78.15	107	68
Singapore	62.5	0.022	17	2	79.3	84.1	29	29
Stockholm	53.9	0.036	21	2.38	78	82	4	28
Sydney	45.4	0.049	5	6.9	79	83	220	12
Taipei	42.5	0.052	27	2.59	80.19	84.84	39	79
Tokyo	41.4	0.0056	136	2.7	79.02	85.53	658	23
Vancouver	41.1	0.075	11	4	79	83	9	12
Vienna	47.8	0.078	15	3.7	77	82	41	25
Warsaw	45.9	0.051	88	4.9	74.1	81	34	32
Zurich	50.6	0.047	20	4.18	78.03	83.83	8	21
